eam_A,Team_B,Score_A,Score_B,Notes
Smash Cartel,MatPing,0,3,
Hotshots,TT8045,2,3,
Table Trolls,Spin Masters,3,0,No show
MatPing,The Engine,3,0,
Voltage and Velocity,The Engine,0,3,
Tariff,CEO & CFO,3,0,No show
Lords of the Ping,Phoenix Buns,0,3,
Lords of the Ping,MatPing,0,3,
Topspin Tooling,Table Trolls,3,2,
The Engine,Spin Masters,3,0,
Tie-Bar Titans,CEO & CFO,3,0,No show
Voltage and Velocity,TT8045,1,3,
Voltage and Velocity,Precision Paddlers,0,3,
MatPing,Table Trolls,3,0,
TT8045,Topspin Tooling,3,2,
Topspin Tooling,The Engine,3,0,
Tie-Bar Titans,MatPing,0,3,
Table Trolls,Phoenix Buns,3,0,
Hotshots,Smash Cartel,0,3
Votage and Velocity,Smash Cartel,0,3
MatPing, Topspin Tooling,3,0
MatPing, TT8045,3,1
Tariff,Hotshots,3,0
MatPing,Tariff,3,1
Hotshots,Tie-Bar Titans,3,1
MatPing,Voltage and Velocity,3,0
MatPing,King Pong,1,3
MatPing,Paddle Pals,3,0
